epoch,train_data,wave,gauge,ic,bdry,val_data,best_val,phys_w,bad,epoch_sec,unix_ts
1,7.515053e-01,3.757667e+02,7.708135e-01,2.400567e-03,3.196484e-01,2.295209e-01,2.295209e-01,0.0000,0,15.1,1781832913
2,1.135643e-01,2.831963e+02,5.266671e-01,1.503058e-03,2.977139e-01,6.049261e-02,6.049261e-02,0.0000,0,12.6,1781832925
3,4.252361e-02,2.373972e+02,4.690410e-01,1.409545e-03,2.956601e-01,3.249195e-02,3.249195e-02,0.0000,0,12.6,1781832938
4,2.552045e-02,2.347723e+02,4.545917e-01,1.302754e-03,2.939313e-01,2.148766e-02,2.148766e-02,0.0000,0,12.6,1781832951
5,1.818227e-02,2.199936e+02,4.553928e-01,1.269118e-03,2.922081e-01,1.674425e-02,1.674425e-02,0.0000,0,12.5,1781832963
6,1.414045e-02,2.102685e+02,4.472183e-01,1.200219e-03,2.801519e-01,1.308592e-02,1.308592e-02,0.0000,0,12.6,1781832976
7,1.155615e-02,2.036218e+02,4.332114e-01,1.136098e-03,2.693557e-01,1.079014e-02,1.079014e-02,0.0000,0,12.6,1781832988
8,9.687504e-03,1.865475e+02,4.095993e-01,1.073592e-03,2.580488e-01,9.528311e-03,9.528311e-03,0.0000,0,12.6,1781833001
9,8.705132e-03,1.816143e+02,4.040004e-01,1.028160e-03,2.525299e-01,8.519204e-03,8.519204e-03,0.0000,0,12.6,1781833014
10,7.731947e-03,1.708191e+02,3.813804e-01,9.887799e-04,2.443068e-01,7.550866e-03,7.550866e-03,0.0000,0,12.6,1781833026
11,6.861974e-03,1.634042e+02,3.672361e-01,9.441344e-04,2.367964e-01,6.936900e-03,6.936900e-03,0.0000,0,12.6,1781833039
12,6.224061e-03,1.586444e+02,3.623279e-01,9.078636e-04,2.355988e-01,6.404697e-03,6.404697e-03,0.0000,0,12.6,1781833051
13,6.249893e-03,1.507493e+02,3.464893e-01,8.865127e-04,2.207259e-01,6.940956e-03,6.404697e-03,0.0000,1,12.6,1781833064
14,5.289630e-03,1.523919e+02,3.501120e-01,8.737472e-04,2.273788e-01,4.795928e-03,4.795928e-03,0.0000,0,12.6,1781833076
15,4.652201e-03,1.493485e+02,3.434979e-01,8.640632e-04,2.234860e-01,4.699371e-03,4.699371e-03,0.0000,0,12.6,1781833089
16,4.501534e-03,1.447792e+02,3.347513e-01,8.424740e-04,2.188946e-01,4.805368e-03,4.699371e-03,0.0000,1,12.6,1781833102
17,4.400969e-03,1.406887e+02,3.240945e-01,8.043317e-04,2.151720e-01,4.676020e-03,4.676020e-03,0.0000,0,12.6,1781833114
18,4.289438e-03,1.361722e+02,3.219246e-01,8.355759e-04,2.131342e-01,4.197767e-03,4.197767e-03,0.0000,0,12.6,1781833127
19,3.915020e-03,1.309423e+02,3.044326e-01,7.660152e-04,1.980616e-01,4.047152e-03,4.047152e-03,0.0000,0,12.6,1781833139
20,3.806756e-03,1.262106e+02,2.994953e-01,7.595888e-04,1.930238e-01,3.780626e-03,3.780626e-03,0.0000,0,12.6,1781833152
21,3.611188e-03,1.261454e+02,2.970529e-01,7.292964e-04,1.926602e-01,3.638433e-03,3.638433e-03,0.0000,0,12.6,1781833165
22,3.447128e-03,1.262230e+02,3.028877e-01,7.589699e-04,1.949435e-01,3.699967e-03,3.638433e-03,0.0000,1,12.6,1781833177
23,3.187576e-03,1.198720e+02,2.810247e-01,7.248447e-04,1.837195e-01,3.266198e-03,3.266198e-03,0.0000,0,12.6,1781833190
24,3.627534e-03,1.163527e+02,2.691170e-01,7.028826e-04,1.738415e-01,3.326191e-03,3.266198e-03,0.0000,1,12.6,1781833202
25,2.828303e-03,1.153112e+02,2.694331e-01,6.982235e-04,1.752806e-01,2.790357e-03,2.790357e-03,0.0000,0,12.6,1781833215
26,2.469628e-03,1.118468e+02,2.621476e-01,6.794375e-04,1.715469e-01,2.657931e-03,2.657931e-03,0.0000,0,12.6,1781833228
27,2.625033e-03,1.130442e+02,2.595170e-01,6.672268e-04,1.728508e-01,2.806283e-03,2.657931e-03,0.0000,1,12.6,1781833240
28,2.778938e-03,1.104135e+02,2.525861e-01,6.621687e-04,1.672621e-01,2.960747e-03,2.657931e-03,0.0000,2,12.6,1781833253
29,3.006556e-03,1.075070e+02,2.503998e-01,6.298362e-04,1.643388e-01,3.008456e-03,2.657931e-03,0.0000,3,12.6,1781833265
30,2.584540e-03,1.086486e+02,2.504516e-01,6.456254e-04,1.664864e-01,2.738756e-03,2.657931e-03,0.0000,4,12.6,1781833278
31,8.321162e-03,3.688371e+01,7.366875e-02,1.723788e-04,6.292458e-02,6.055280e-03,2.657931e-03,0.0001,5,33.6,1781833312
32,5.520399e-03,2.776933e+01,5.212309e-02,1.065114e-04,4.462652e-02,4.973485e-03,2.657931e-03,0.0001,6,33.5,1781833345
33,5.103690e-03,2.027104e+01,3.464295e-02,5.089561e-05,2.779041e-02,5.006361e-03,2.657931e-03,0.0002,7,33.4,1781833378
34,5.472620e-03,2.098461e+01,3.029079e-02,3.688303e-05,2.295582e-02,6.669401e-03,2.657931e-03,0.0002,8,33.5,1781833412
35,7.614133e-03,1.790797e+01,2.348014e-02,2.104241e-05,1.457971e-02,7.052212e-03,2.657931e-03,0.0003,9,33.5,1781833445
36,7.003761e-03,1.706750e+01,1.639092e-02,2.337592e-05,1.089774e-02,7.646836e-03,2.657931e-03,0.0004,10,33.5,1781833479
37,8.278020e-03,1.548705e+01,1.455078e-02,1.406344e-05,9.389716e-03,7.690959e-03,2.657931e-03,0.0005,11,33.5,1781833512
38,7.331624e-03,1.298206e+01,1.346293e-02,1.581165e-05,7.766124e-03,6.448052e-03,2.657931e-03,0.0005,12,33.5,1781833546
39,6.815586e-03,1.217474e+01,1.099666e-02,8.842558e-06,7.017778e-03,5.341000e-03,2.657931e-03,0.0005,13,33.5,1781833579
40,5.684906e-03,9.622510e+00,1.055957e-02,1.067046e-05,5.476745e-03,7.076751e-03,2.657931e-03,0.0005,14,33.4,1781833613
41,7.828753e-03,1.180094e+01,9.049235e-03,9.144354e-06,4.976528e-03,7.842175e-03,2.657931e-03,0.0007,15,33.3,1781833646
42,8.899201e-03,1.235092e+01,8.389084e-03,6.627338e-06,4.190006e-03,1.146015e-02,2.657931e-03,0.0010,16,33.4,1781833679
43,7.577031e-03,9.895773e+00,7.134263e-03,7.841464e-06,3.225670e-03,6.911828e-03,2.657931e-03,0.0013,17,33.5,1781833713
44,7.224100e-03,9.781705e+00,6.328182e-03,5.218652e-06,2.965663e-03,7.754869e-03,2.657931e-03,0.0013,18,33.4,1781833746
45,6.815589e-03,1.038356e+01,5.560722e-03,6.263392e-06,3.057875e-03,6.713713e-03,2.657931e-03,0.0013,19,33.5,1781833780
46,6.239426e-03,9.321554e+00,4.952714e-03,6.133594e-06,2.470821e-03,5.295134e-03,2.657931e-03,0.0013,20,33.4,1781833813
47,6.176489e-03,1.025404e+01,5.249100e-03,2.642518e-06,2.254358e-03,6.220973e-03,2.657931e-03,0.0013,21,33.4,1781833847
48,6.072838e-03,9.494864e+00,5.477867e-03,3.581289e-06,2.149696e-03,6.975650e-03,2.657931e-03,0.0014,22,33.5,1781833880
49,7.444126e-03,1.049291e+01,7.602227e-03,7.166583e-06,2.401979e-03,6.763834e-03,2.657931e-03,0.0017,23,33.5,1781833914
50,7.820694e-03,7.416362e+00,5.933866e-03,5.131841e-06,2.226748e-03,7.225719e-03,2.657931e-03,0.0018,24,33.5,1781833947
51,7.790461e-03,6.154747e+00,5.204971e-03,2.051039e-05,1.984236e-03,7.166043e-03,2.657931e-03,0.0018,25,33.4,1781833981
52,6.757666e-03,7.135768e+00,5.700675e-03,1.171467e-05,1.965648e-03,6.824512e-03,2.657931e-03,0.0017,26,33.5,1781834014
53,6.282604e-03,8.353199e+00,6.424750e-03,4.145182e-06,1.617042e-03,6.376122e-03,2.657931e-03,0.0017,27,33.4,1781834047
54,6.061557e-03,8.515836e+00,5.004394e-03,1.046577e-05,1.564544e-03,6.429925e-03,2.657931e-03,0.0017,28,33.4,1781834081
55,8.179915e-03,7.082149e+00,4.946929e-03,1.828094e-05,1.518240e-03,1.058003e-02,2.657931e-03,0.0023,29,33.5,1781834114
56,1.057907e-02,8.482853e+00,8.841636e-03,2.634263e-05,1.224792e-03,1.113594e-02,2.657931e-03,0.0026,30,33.5,1781834148
57,1.056783e-02,8.321520e+00,6.085751e-03,3.494721e-06,1.279240e-03,1.121365e-02,2.657931e-03,0.0028,31,33.4,1781834181
58,1.007665e-02,7.238685e+00,5.076271e-03,1.600592e-05,1.175864e-03,9.248822e-03,2.657931e-03,0.0026,32,33.4,1781834215
59,6.651923e-03,8.595842e+00,4.269168e-03,1.847181e-06,1.041056e-03,5.791371e-03,2.657931e-03,0.0025,33,33.4,1781834248
60,5.879274e-03,9.095975e+00,4.766129e-03,6.865309e-06,1.030739e-03,5.443462e-03,2.657931e-03,0.0026,34,33.5,1781834282
61,5.506806e-03,8.506360e+00,5.337141e-03,8.524551e-06,1.051969e-03,5.418437e-03,2.657931e-03,0.0025,35,33.6,1781834315
62,5.322750e-03,9.146955e+00,4.513862e-03,7.154592e-06,9.756882e-04,5.592826e-03,2.657931e-03,0.0026,36,33.6,1781834349
63,5.124700e-03,8.693648e+00,4.068240e-03,3.562041e-06,9.599766e-04,5.095184e-03,2.657931e-03,0.0026,37,33.6,1781834382
64,5.108892e-03,9.528952e+00,4.163273e-03,5.354960e-06,8.396242e-04,5.089636e-03,2.657931e-03,0.0025,38,33.6,1781834416
65,4.706833e-03,8.745149e+00,4.550396e-03,4.345500e-06,8.299886e-04,4.946549e-03,2.657931e-03,0.0023,39,33.6,1781834450
66,4.462653e-03,7.493250e+00,3.841645e-03,1.562085e-05,9.187937e-04,4.427104e-03,2.657931e-03,0.0023,40,33.6,1781834483
67,4.498660e-03,8.179806e+00,4.712329e-03,7.386647e-06,8.366820e-04,4.964727e-03,2.657931e-03,0.0023,41,33.6,1781834517
68,4.493904e-03,9.897607e+00,4.228798e-03,8.150190e-06,7.531750e-04,4.732781e-03,2.657931e-03,0.0022,42,33.6,1781834550
69,4.239170e-03,1.000191e+01,4.446736e-03,1.013563e-05,7.317532e-04,5.111034e-03,2.657931e-03,0.0022,43,33.6,1781834584
70,4.634278e-03,1.011305e+01,5.278601e-03,4.374516e-06,8.074218e-04,4.670883e-03,2.657931e-03,0.0024,44,33.6,1781834618
71,4.252470e-03,9.794199e+00,4.818109e-03,2.179142e-06,7.988711e-04,4.245713e-03,2.657931e-03,0.0023,45,33.6,1781834651
72,4.233875e-03,9.967042e+00,3.990465e-03,4.361278e-06,7.586618e-04,4.104209e-03,2.657931e-03,0.0022,46,33.6,1781834685
73,4.046812e-03,8.420326e+00,3.851135e-03,4.136231e-06,7.536561e-04,4.807421e-03,2.657931e-03,0.0021,47,33.6,1781834718
74,4.520647e-03,8.795153e+00,5.553154e-03,1.082388e-05,6.640709e-04,5.119504e-03,2.657931e-03,0.0024,48,33.6,1781834752
75,3.811817e-03,8.218125e+00,5.417547e-03,2.807932e-06,7.234170e-04,3.659299e-03,2.657931e-03,0.0023,49,33.7,1781834786
76,3.709036e-03,7.852896e+00,5.518485e-03,2.618251e-06,7.349916e-04,3.558839e-03,2.657931e-03,0.0026,50,33.6,1781834819
