epoch,train_data,wave,gauge,ic,bdry,val_data,best_val,phys_w,bad,epoch_sec,unix_ts
43,3.475555e-03,2.252564e+01,6.589237e-03,6.839082e-06,2.564695e-03,3.635598e-03,9.544380e-04,0.0004,13,73.4,1781853443
44,3.375602e-03,2.221306e+01,7.251745e-03,1.202311e-05,2.478870e-03,3.571464e-03,9.544380e-04,0.0004,14,73.4,1781853516
45,3.872676e-03,2.299721e+01,5.647656e-03,1.389959e-05,2.281567e-03,4.085298e-03,9.544380e-04,0.0004,15,73.4,1781853590
46,3.973853e-03,2.262416e+01,5.828032e-03,1.601534e-05,2.465407e-03,3.838869e-03,9.544380e-04,0.0004,16,73.4,1781853663
47,2.436709e-03,2.097526e+01,5.889024e-03,3.658080e-06,2.157338e-03,2.706281e-03,9.544380e-04,0.0004,17,73.4,1781853737
48,2.803604e-03,2.197460e+01,5.905246e-03,4.666780e-06,2.206546e-03,3.350120e-03,9.544380e-04,0.0005,18,73.4,1781853810
49,3.135600e-03,2.071032e+01,5.135012e-03,4.054255e-06,2.047801e-03,3.037782e-03,9.544380e-04,0.0006,19,73.4,1781853883
50,3.319297e-03,2.075188e+01,6.236713e-03,7.786482e-06,2.066019e-03,3.242103e-03,9.544380e-04,0.0006,20,73.5,1781853957
51,3.486156e-03,2.261348e+01,5.906139e-03,4.493433e-06,2.048532e-03,3.438723e-03,9.544380e-04,0.0006,21,73.5,1781854030
52,3.470794e-03,2.240894e+01,5.131154e-03,6.369995e-06,1.903201e-03,3.270920e-03,9.544380e-04,0.0006,22,73.4,1781854104
53,3.242601e-03,2.179453e+01,5.852522e-03,6.126024e-06,2.028748e-03,3.112813e-03,9.544380e-04,0.0006,23,73.4,1781854177
54,3.145715e-03,2.063872e+01,5.277968e-03,4.343610e-06,1.948463e-03,3.244785e-03,9.544380e-04,0.0006,24,73.4,1781854251
55,3.007283e-03,2.208835e+01,5.624866e-03,3.294126e-06,1.999956e-03,3.062881e-03,9.544380e-04,0.0006,25,73.4,1781854324
56,2.886037e-03,2.016222e+01,4.852171e-03,5.615072e-06,2.048497e-03,2.986674e-03,9.544380e-04,0.0006,26,73.4,1781854397
57,3.231720e-03,2.189052e+01,5.124324e-03,4.142084e-06,1.927795e-03,3.134308e-03,9.544380e-04,0.0006,27,73.4,1781854471
58,3.174083e-03,2.036534e+01,4.482029e-03,2.809627e-06,1.942580e-03,3.355992e-03,9.544380e-04,0.0006,28,73.4,1781854544
59,3.211700e-03,2.018471e+01,4.418044e-03,3.209907e-06,1.795733e-03,3.404591e-03,9.544380e-04,0.0006,29,73.4,1781854618
60,3.188590e-03,1.981523e+01,4.544654e-03,4.288233e-06,1.913487e-03,3.411247e-03,9.544380e-04,0.0007,30,73.4,1781854691
61,2.978802e-03,2.318531e+01,4.183613e-03,3.808893e-06,1.804608e-03,3.049608e-03,9.544380e-04,0.0006,31,73.4,1781854764
62,3.293552e-03,2.296576e+01,5.079484e-03,3.167374e-06,1.865811e-03,3.307918e-03,9.544380e-04,0.0007,32,73.4,1781854838
63,2.269920e-03,2.155120e+01,5.011847e-03,2.845356e-06,1.879513e-03,2.173218e-03,9.544380e-04,0.0006,33,73.5,1781854911
64,2.208492e-03,2.134695e+01,4.882133e-03,4.111088e-06,1.708651e-03,2.414741e-03,9.544380e-04,0.0006,34,73.5,1781854985
65,2.076576e-03,2.125977e+01,5.997842e-03,3.137941e-06,1.778344e-03,2.248111e-03,9.544380e-04,0.0006,35,73.5,1781855058
66,2.112617e-03,2.179633e+01,5.643274e-03,2.971002e-06,1.723250e-03,2.189584e-03,9.544380e-04,0.0006,36,73.4,1781855132
67,2.098914e-03,2.088407e+01,5.834446e-03,3.664804e-06,1.820689e-03,2.123861e-03,9.544380e-04,0.0006,37,73.4,1781855205
68,2.118286e-03,2.152975e+01,5.704666e-03,2.495290e-06,1.709266e-03,2.190306e-03,9.544380e-04,0.0006,38,73.4,1781855278
69,2.061562e-03,2.111790e+01,5.578164e-03,3.727741e-06,1.723274e-03,2.316425e-03,9.544380e-04,0.0006,39,73.4,1781855352
70,2.073827e-03,2.240599e+01,6.099603e-03,2.472754e-06,1.715798e-03,2.180337e-03,9.544380e-04,0.0006,40,73.4,1781855425
71,2.085045e-03,2.102859e+01,6.138765e-03,2.599546e-06,1.710352e-03,2.211678e-03,9.544380e-04,0.0006,41,73.4,1781855499
72,2.028509e-03,2.092938e+01,6.562574e-03,2.319385e-06,1.731978e-03,2.205385e-03,9.544380e-04,0.0006,42,73.4,1781855572
73,1.990992e-03,2.196109e+01,6.760481e-03,3.184189e-06,1.758614e-03,1.930207e-03,9.544380e-04,0.0006,43,73.4,1781855645
74,2.020838e-03,2.063929e+01,6.658540e-03,3.053142e-06,1.699772e-03,2.062045e-03,9.544380e-04,0.0006,44,73.4,1781855719
75,2.017653e-03,2.175258e+01,9.742492e-03,2.955092e-06,1.759752e-03,2.014944e-03,9.544380e-04,0.0006,45,73.4,1781855792
76,1.996796e-03,2.016530e+01,7.529138e-03,2.671099e-06,1.665095e-03,2.044507e-03,9.544380e-04,0.0006,46,73.4,1781855866
77,1.901223e-03,1.907913e+01,7.346056e-03,2.897837e-06,1.767703e-03,1.796081e-03,9.544380e-04,0.0006,47,73.5,1781855939
78,1.909174e-03,2.031537e+01,6.943831e-03,3.276708e-06,1.759052e-03,2.140551e-03,9.544380e-04,0.0006,48,73.5,1781856013
79,1.619218e-03,1.944158e+01,8.099585e-03,2.698883e-06,1.688663e-03,2.001925e-03,9.544380e-04,0.0006,49,73.5,1781856086
80,1.593036e-03,1.998076e+01,7.273844e-03,2.566621e-06,1.554263e-03,1.599884e-03,9.544380e-04,0.0006,50,73.4,1781856159
