epoch,train_data,wave,gauge,ic,bdry,val_data,best_val,phys_w,bad,epoch_sec,unix_ts
1,3.946442e-01,4.142300e+02,3.674157e-01,5.316682e-04,3.168137e-01,7.841316e-02,7.841316e-02,0.0000,0,98.1,1781893665
2,3.609407e-02,2.935836e+02,3.764794e-01,2.971505e-04,3.453295e-01,1.840327e-02,1.840327e-02,0.0000,0,94.5,1781893760
3,1.323575e-02,2.571560e+02,3.165887e-01,3.058728e-04,2.836337e-01,9.968938e-03,9.968938e-03,0.0000,0,98.6,1781893859
4,8.225549e-03,2.516057e+02,2.992614e-01,3.044159e-04,2.497776e-01,7.724484e-03,7.724484e-03,0.0000,0,94.4,1781893953
5,6.159786e-03,2.217673e+02,2.661062e-01,2.814417e-04,2.218188e-01,6.013776e-03,6.013776e-03,0.0000,0,94.9,1781894048
6,4.924804e-03,2.132513e+02,2.539045e-01,2.796609e-04,2.062213e-01,4.596635e-03,4.596635e-03,0.0000,0,96.5,1781894144
7,4.181821e-03,2.100865e+02,2.255693e-01,2.226801e-04,1.937377e-01,3.940493e-03,3.940493e-03,0.0000,0,96.6,1781894241
8,3.624644e-03,2.041725e+02,2.392330e-01,2.207593e-04,1.834548e-01,3.481418e-03,3.481418e-03,0.0000,0,96.7,1781894338
9,3.244006e-03,1.893259e+02,2.088741e-01,1.774034e-04,1.697279e-01,3.567615e-03,3.481418e-03,0.0000,1,94.3,1781894432
10,2.913944e-03,1.934485e+02,2.080144e-01,2.096695e-04,1.672850e-01,2.671324e-03,2.671324e-03,0.0000,0,98.0,1781894530
11,2.649689e-03,1.876395e+02,2.067671e-01,2.016335e-04,1.665160e-01,2.533605e-03,2.533605e-03,0.0000,0,95.9,1781894626
12,2.472938e-03,1.861559e+02,1.958186e-01,2.132115e-04,1.628740e-01,2.324460e-03,2.324460e-03,0.0000,0,95.3,1781894721
13,2.306163e-03,1.745595e+02,1.873162e-01,2.261584e-04,1.506968e-01,2.350105e-03,2.324460e-03,0.0000,1,94.8,1781894816
14,2.122003e-03,1.812752e+02,1.843116e-01,2.667758e-04,1.503198e-01,2.083783e-03,2.083783e-03,0.0000,0,97.6,1781894914
15,2.036154e-03,1.732904e+02,1.762405e-01,2.103521e-04,1.470688e-01,2.037374e-03,2.037374e-03,0.0000,0,96.1,1781895010
16,1.902610e-03,1.763250e+02,1.711626e-01,2.322455e-04,1.451297e-01,1.992075e-03,1.992075e-03,0.0000,0,96.4,1781895106
17,1.810713e-03,1.778428e+02,1.699463e-01,2.583725e-04,1.414640e-01,1.877908e-03,1.877908e-03,0.0000,0,97.8,1781895204
18,1.705802e-03,1.672417e+02,1.657973e-01,2.427796e-04,1.351810e-01,1.642695e-03,1.642695e-03,0.0000,0,96.5,1781895301
19,1.657631e-03,1.661881e+02,1.594367e-01,2.532329e-04,1.364484e-01,1.566103e-03,1.566103e-03,0.0000,0,94.0,1781895395
20,1.539896e-03,1.644438e+02,1.551838e-01,2.710932e-04,1.345058e-01,1.543654e-03,1.543654e-03,0.0000,0,96.4,1781895491
21,1.529320e-03,1.611807e+02,1.510484e-01,2.228939e-04,1.273993e-01,1.673788e-03,1.543654e-03,0.0000,1,97.2,1781895588
22,1.444363e-03,1.642825e+02,1.533298e-01,2.245533e-04,1.300613e-01,1.435794e-03,1.435794e-03,0.0000,0,94.7,1781895683
23,1.377637e-03,1.578989e+02,1.529629e-01,2.450456e-04,1.243594e-01,1.360647e-03,1.360647e-03,0.0000,0,96.5,1781895779
24,1.358714e-03,1.592449e+02,1.485254e-01,2.449352e-04,1.246230e-01,1.399736e-03,1.360647e-03,0.0000,1,94.7,1781895874
25,1.278595e-03,1.653023e+02,1.457688e-01,2.322844e-04,1.254603e-01,1.492738e-03,1.360647e-03,0.0000,2,93.8,1781895968
26,1.250098e-03,1.615199e+02,1.441942e-01,2.363681e-04,1.196379e-01,1.263511e-03,1.263511e-03,0.0000,0,94.2,1781896062
27,1.232464e-03,1.609378e+02,1.442083e-01,2.363425e-04,1.193543e-01,1.289088e-03,1.263511e-03,0.0000,1,98.2,1781896160
28,1.194904e-03,1.591934e+02,1.387603e-01,2.524222e-04,1.181333e-01,1.150207e-03,1.150207e-03,0.0000,0,94.4,1781896255
29,1.115048e-03,1.563872e+02,1.388017e-01,2.296998e-04,1.158363e-01,1.224514e-03,1.150207e-03,0.0000,1,94.6,1781896349
30,1.121199e-03,1.602532e+02,1.384366e-01,2.453851e-04,1.140446e-01,1.188048e-03,1.150207e-03,0.0000,2,92.3,1781896442
31,2.397588e-03,7.670313e+01,4.937209e-02,5.941443e-06,4.320486e-02,2.142231e-03,1.150207e-03,0.0000,3,251.7,1781896693
32,2.307036e-03,6.959041e+01,3.812981e-02,4.696815e-06,3.194087e-02,1.930692e-03,1.150207e-03,0.0000,4,261.4,1781896955
33,2.157901e-03,6.475386e+01,2.886921e-02,6.741753e-06,2.875315e-02,2.060762e-03,1.150207e-03,0.0000,5,263.5,1781897218
34,2.443198e-03,6.145451e+01,2.376596e-02,3.156513e-06,2.629291e-02,2.543192e-03,1.150207e-03,0.0000,6,259.5,1781897478
35,2.675051e-03,5.963653e+01,1.879054e-02,1.047782e-05,2.189376e-02,2.405754e-03,1.150207e-03,0.0001,7,262.0,1781897740
36,2.546755e-03,6.038931e+01,1.595951e-02,4.492380e-06,1.989266e-02,2.461768e-03,1.150207e-03,0.0001,8,255.3,1781897995
37,2.671230e-03,6.096121e+01,1.491528e-02,9.895672e-06,1.878966e-02,2.582426e-03,1.150207e-03,0.0001,9,262.4,1781898257
38,2.710841e-03,5.648516e+01,1.435044e-02,4.116198e-06,1.696051e-02,2.551141e-03,1.150207e-03,0.0001,10,259.5,1781898517
