epoch,train_data,wave,gauge,ic,bdry,val_data,best_val,phys_w,bad,epoch_sec,unix_ts
38,1.186698e-02,3.336624e+02,5.930590e-02,9.129045e-06,3.297919e-01,1.180727e-02,6.585354e-03,0.0001,8,422.2,1781814405
39,1.209988e-02,3.282383e+02,5.499574e-02,8.232525e-06,3.258932e-01,1.248655e-02,6.585354e-03,0.0001,9,423.6,1781814829
40,1.250244e-02,3.225468e+02,6.698681e-02,8.992761e-06,3.393486e-01,1.143005e-02,6.585354e-03,0.0001,10,422.2,1781815251
41,1.212759e-02,3.322413e+02,5.514451e-02,8.771309e-06,3.284355e-01,1.142012e-02,6.585354e-03,0.0001,11,422.3,1781815673
42,1.215480e-02,3.186610e+02,6.952721e-02,8.084872e-06,3.227206e-01,1.166777e-02,6.585354e-03,0.0001,12,422.8,1781816096
43,1.191412e-02,3.255253e+02,7.417685e-02,1.196745e-05,3.268294e-01,1.160406e-02,6.585354e-03,0.0001,13,422.5,1781816518
44,1.223624e-02,3.006666e+02,5.243210e-02,1.061175e-05,3.185004e-01,1.141251e-02,6.585354e-03,0.0001,14,422.6,1781816941
45,1.235548e-02,2.939509e+02,5.752617e-02,8.583471e-06,3.216843e-01,1.091366e-02,6.585354e-03,0.0001,15,422.4,1781817363
46,1.191981e-02,2.778802e+02,7.749333e-02,7.247915e-06,3.365646e-01,1.175091e-02,6.585354e-03,0.0001,16,420.2,1781817784
47,8.491598e-03,2.891202e+02,5.459453e-02,8.978189e-06,3.379420e-01,7.889568e-03,6.585354e-03,0.0001,17,421.9,1781818205
48,8.530462e-03,2.840133e+02,5.857842e-02,7.820792e-06,3.297353e-01,8.003804e-03,6.585354e-03,0.0001,18,420.9,1781818626
49,8.467481e-03,2.818985e+02,6.279812e-02,1.046126e-05,3.241353e-01,9.379486e-03,6.585354e-03,0.0001,19,421.6,1781819048
50,8.608254e-03,2.745461e+02,6.392535e-02,1.107698e-05,3.317524e-01,8.261824e-03,6.585354e-03,0.0001,20,421.7,1781819470
51,8.580741e-03,2.839378e+02,7.129993e-02,7.854834e-06,3.263260e-01,7.960160e-03,6.585354e-03,0.0001,21,422.1,1781819892
52,8.312860e-03,2.762162e+02,6.210667e-02,8.562657e-06,3.157220e-01,8.683810e-03,6.585354e-03,0.0001,22,422.6,1781820314
53,8.307699e-03,2.938043e+02,7.256175e-02,9.193866e-06,3.286501e-01,7.899240e-03,6.585354e-03,0.0001,23,422.3,1781820737
54,8.124021e-03,2.734424e+02,6.897843e-02,7.158057e-06,3.263744e-01,8.297008e-03,6.585354e-03,0.0001,24,422.4,1781821159
55,8.244994e-03,2.930292e+02,5.218593e-02,7.518973e-06,3.297019e-01,7.924298e-03,6.585354e-03,0.0001,25,422.1,1781821581
56,8.198343e-03,2.765966e+02,5.298069e-02,8.442838e-06,3.234408e-01,7.869791e-03,6.585354e-03,0.0001,26,422.3,1781822004
57,8.085884e-03,2.884766e+02,5.585646e-02,7.218953e-06,3.278078e-01,7.322536e-03,6.585354e-03,0.0001,27,421.8,1781822425
58,7.967023e-03,2.906484e+02,5.897345e-02,7.608864e-06,3.218578e-01,7.461842e-03,6.585354e-03,0.0001,28,422.4,1781822848
59,7.935823e-03,2.916632e+02,6.325965e-02,7.770561e-06,3.317383e-01,7.383119e-03,6.585354e-03,0.0001,29,422.9,1781823271
60,7.787849e-03,2.762166e+02,5.334341e-02,5.756746e-06,3.250511e-01,7.697183e-03,6.585354e-03,0.0001,30,422.0,1781823693
61,7.809795e-03,2.839616e+02,5.487610e-02,6.537209e-06,3.273920e-01,7.828440e-03,6.585354e-03,0.0001,31,423.1,1781824116
62,7.778724e-03,2.836287e+02,5.120646e-02,5.886435e-06,3.286024e-01,7.571025e-03,6.585354e-03,0.0001,32,422.8,1781824539
63,6.210429e-03,2.868401e+02,5.043858e-02,5.936927e-06,3.258444e-01,6.014833e-03,6.014833e-03,0.0001,0,427.3,1781824966
64,5.998057e-03,2.991015e+02,4.768594e-02,6.045163e-06,3.282577e-01,5.786290e-03,5.786290e-03,0.0001,0,425.9,1781825392
65,5.961053e-03,2.840807e+02,4.940301e-02,5.937551e-06,3.308804e-01,5.742200e-03,5.742200e-03,0.0001,0,426.7,1781825819
66,5.886484e-03,2.745501e+02,5.526923e-02,5.560779e-06,3.276236e-01,5.720254e-03,5.720254e-03,0.0001,0,426.0,1781826245
